Summary
Name,"JAA_CAL257.rslt"
Start time,2023 Jan 30 - 16:42
End time,2023 Feb 03 - 7:52
Operator,"JAA"
Results file path,"C:\Users\ga42fix\Desktop\AK Gädt\AK Gädt Kalo2\JAA\JAA_CAL257.rslt"
General Experiment Info
Bath temperature,20°C
,Sample - 213:1
Total mass,6g
Name,"JAA_CAL257"
,Component - OPC
Mass,4g
Name,"OPC"
ID,"Bernburg CEM I 42.5R 29.09.21"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-2176.70595622063,20,NaN,NaN,NaN,NaN,""
-2175.87718272209,20,-1.88531413501824E-06,NaN,-4.71328533754561E-07,NaN,""
-2153.41429209709,20,-1.87947584283075E-06,NaN,-4.69868960707686E-07,NaN,""
-2125.27757334709,20,-3.11065788184063E-06,NaN,-7.77664470460157E-07,NaN,""
-2088.06370615959,20,-3.31683507217063E-06,NaN,-8.29208768042658E-07,NaN,""
-2031.20335459709,20,-2.3756148188904E-06,NaN,-5.939037047226E-07,NaN,""
-2001.17015147209,20,-8.129800703781E-07,NaN,-2.03245017594525E-07,NaN,""
-1971.53733897209,20,-1.32705194231879E-06,NaN,-3.31762985579696E-07,NaN,""
-1951.56858897209,20,-9.24797578617363E-07,NaN,-2.31199394654341E-07,NaN,""
-1903.44578623772,20,-1.62061557849009E-06,NaN,-4.05153894622523E-07,NaN,""
-1881.30296397209,20,-8.29421177513707E-07,NaN,-2.07355294378427E-07,NaN,""
-1846.42405772209,20,-7.31218393919985E-07,NaN,-1.82804598479996E-07,NaN,""
-1829.65062022209,20,-3.4466002466217E-07,NaN,-8.61650061655425E-08,NaN,""
-1811.22483897209,20,-9.8663571138796E-07,NaN,-2.4665892784699E-07,NaN,""
-1776.56028819084,20,-1.67920302925705E-06,NaN,-4.19800757314262E-07,NaN,""
-1737.25999522209,20,-1.02120490789268E-06,NaN,-2.55301226973171E-07,NaN,""
-1724.33030772209,20,-1.36404681602365E-06,NaN,-3.41011704005914E-07,NaN,""
-1664.33860850334,20,-5.04108209888782E-07,NaN,-1.26027052472196E-07,NaN,""
-1607.19944834709,20,-8.38105717875041E-08,NaN,-2.0952642946876E-08,NaN,""
-1582.35374522209,20,-1.04754504950161E-06,NaN,-2.61886262375402E-07,NaN,""
-1548.63304209709,20,-1.16550345827489E-06,NaN,-2.91375864568724E-07,NaN,""
-1513.37718272209,20,-2.02261320414296E-06,NaN,-5.0565330103574E-07,NaN,""
-1498.81077647209,20,-1.68970315958973E-06,NaN,-4.22425789897432E-07,NaN,""
-1480.19749522209,20,-2.48993417507354E-06,NaN,-6.22483543768385E-07,NaN,""
-1468.37718272209,20,-2.95145764676258E-06,NaN,-7.37864411690645E-07,NaN,""
-1449.01780772209,20,-2.15615059864717E-06,NaN,-5.39037649661792E-07,NaN,""
-1420.76927256584,20,-1.7196899662077E-06,NaN,-4.29922491551924E-07,NaN,""
-1373.34983897209,20,-2.04530647599648E-06,NaN,-5.11326618999121E-07,NaN,""
