Summary
Name,"JAA_CAL348.rslt"
Start time,2023 Jun 06 - 12:10
End time,2023 Jun 13 - 12:50
Operator,"JAA"
Results file path,"C:\Users\ge65ley\Desktop\Calorimetry_Results\AXD\Results_files\JAA_CAL348.rslt"
General Experiment Info
Bath temperature,20°C
,Sample - 25336:4
Total mass,6g
Name,"JAA_CAL348"
,Component - OPC
Mass,4g
Name,"OPC"
ID,"Karlstadt CEM I 52.5N 12.10.21"

"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
-4285.7300391197205,25.646357088210035,19.999829663409493,NaN,NaN,NaN,NaN,""
-4285.530289173126,25.646378942408198,19.999829752253465,1.0573061874737033E-06,NaN,2.643265468684258E-07,NaN,""
-4263.7476172447205,25.64876213618096,19.999839440662257,9.92424390625014E-07,NaN,2.481060976562535E-07,NaN,""
-4248.4409766197205,25.65043680174721,19.999843460383694,9.687943426099137E-07,NaN,2.421985856524784E-07,NaN,""
-4231.545914173126,25.652285253018267,19.999847897245207,9.757672440628143E-07,NaN,2.4394181101570357E-07,NaN,""
-4202.469986438751,25.655466385715933,19.999855532959195,4.444842387951592E-07,NaN,1.111210596987898E-07,NaN,""
-4175.374039173126,25.65843089314655,19.999862648704756,2.914079403813168E-07,NaN,7.28519850953292E-08,NaN,""
-4154.4810156822205,25.660716752459006,19.99986813548245,5.970780858276232E-07,NaN,1.492695214569058E-07,NaN,""
-4141.794217586517,25.662104786870824,20.000087749818263,6.573231865210524E-07,NaN,1.643307966302631E-07,NaN,""
-4116.2300391197205,25.66490170687807,20.000530277557115,6.407913630376638E-07,NaN,1.6019784075941596E-07,NaN,""
-4113.236867427826,25.6652291831473,20.000421445876448,6.388557410449546E-07,NaN,1.5971393526123864E-07,NaN,""
-4097.3901953697205,25.655600984548162,19.999845261103047,6.286080272135086E-07,NaN,1.5715200680337716E-07,NaN,""
-4047.555679798126,25.62532228557238,19.99983618073732,5.963810805944412E-07,NaN,1.490952701486103E-07,NaN,""
-4033.933609485626,25.617045721394156,19.999815696973545,4.3542664208871587E-07,NaN,1.0885666052217897E-07,NaN,""
-4031.9585547447205,25.615845707964212,19.999809283333004,4.1208996715253906E-07,NaN,1.0302249178813476E-07,NaN,""
-4018.9380469322205,25.7505826253357,19.999767001539453,2.922095301411304E-07,NaN,7.30523825352826E-08,NaN,""
-4008.303726673126,25.860627145156652,19.999732468467464,4.2954151174373897E-07,NaN,1.0738537793593474E-07,NaN,""
-4002.573257923126,25.87109590419569,19.999713859784904,3.336520836564749E-07,NaN,8.341302091411872E-08,NaN,""
-3996.842789173126,25.846723517063765,19.99969525110235,2.377626555692108E-07,NaN,5.94406638923027E-08,NaN,""
-3967.3628516197205,25.721341723353326,19.99959952022523,1.4374762533273094E-07,NaN,3.5936906333182735E-08,NaN,""
-3952.3464941978455,25.71972782135065,19.999721562012606,3.0387033190261606E-08,NaN,7.596758297565402E-09,NaN,""
-3935.967789173126,25.75129595558316,19.999854675948296,-9.598735776076012E-08,NaN,-2.399683944019003E-08,NaN,""
-3928.624039173126,25.76545021780475,19.999914360487686,2.9694672335115516E-08,NaN,7.423668083778879E-09,NaN,""
-3901.8779883384705,25.817000259255753,20.000131732501245,-9.200570423988977E-08,NaN,-2.3001426059972443E-08,NaN,""
-3887.4439063072205,25.828899630311426,20.000113785938993,-8.834160218062006E-08,NaN,-2.2085400545155015E-08,NaN,""
-3850.163101673126,25.746533968988864,20.0000674329891,-4.800791757434315E-08,NaN,-1.2001979393585787E-08,NaN,""
-3841.6753516197205,25.727781714225294,20.000056879776615,-2.0542705939210117E-07,NaN,-5.135676484802529E-08,NaN,""
-3837.1401953697205,25.72958648732749,20.000051241006947,-2.0292191367418015E-07,NaN,-5.073047841854504E-08,NaN,""
-3781.915787220001,25.751563133978493,19.99998257794431,-1.696273094847858E-08,NaN,-4.240682737119645E-09,NaN,""
-3758.8905186653137,25.777367959111228,20.000017037177543,-3.4905233779722765E-08,NaN,-8.726308444930691E-09,NaN,""
-3735.865250110626,25.839386194303763,20.000073394835933,-5.2847736610966956E-08,NaN,-1.3211934152741739E-08,NaN,""
-3714.447769641876,25.89509745775987,20.000125817201603,-1.1198700170431678E-07,NaN,-2.7996750426079194E-08,NaN,""
-3693.030289173126,25.870385567736896,20.000178239567273,-1.711262667976666E-07,NaN,-4.278156669941665E-08,NaN,""
-3687.155289173126,25.86360688272319,20.000192619475254,-2.194053527162711E-09,NaN,-5.485133817906778E-10,NaN,""
-3663.4998145103455,25.836312753091043,20.000250519653786,-1.6197952311246754E-07,NaN,-4.0494880778116885E-08,NaN,""
-3648.6544165611267,25.8191838549462,20.000203427352627,-2.1652905545754915E-07,NaN,-5.413226386438729E-08,NaN,""
-3614.030289173126,25.779233888403578,20.00009359332595,-2.706962433798051E-07,NaN,-6.767406084495128E-08,NaN,""
-3607.295914173126,25.771463640422432,20.000072230664152,-1.1082713749996941E-07,NaN,-2.7706784374992353E-08,NaN,""
-3601.975601673126,25.76771101615011,20.00005535366568,-2.0187652909765444E-07,NaN,-5.046913227441361E-08,NaN,""
-3596.655289173126,25.765718068390985,20.000038476667207,-2.929259206953395E-07,NaN,-7.323148017383487E-08,NaN,""
-3562.982437610626,25.753104479609316,19.999931660260387,-6.797551860913914E-08,NaN,-1.6993879652284784E-08,NaN,""
-3546.655289173126,25.746988456557762,19.9998798675773,-2.243349871470664E-07,NaN,-5.60837467867666E-08,NaN,""
-3514.895523548126,25.735091494916354,19.999779119826876,2.1981357035626943E-07,NaN,5.495339258906736E-08,NaN,""
-3491.303726673126,25.726254190958016,19.99970428235824,5.1144568485273476E-09,NaN,1.2786142121318369E-09,NaN,""
-3472.499039173126,25.71921010100762,19.999644630470836,-2.3347508975233585E-07,NaN,-5.836877243808396E-08,NaN,""
-3448.928726673126,25.710380844929364,19.999569861154548,-2.1628597682396263E-07,NaN,-5.407149420599066E-08,NaN,""
-3445.4976172447205,25.709095577974338,19.99955897705167,-1.96438477462745E-07,NaN,-4.910961936568625E-08,NaN,""
-3423.538101673126,25.700869713920305,19.99982797534178,-6.941207962431295E-08,NaN,-1.7353019906078237E-08,NaN,""
-3403.699234485626,25.693438228287654,20.000038338806064,-1.9017516828667726E-07,NaN,-4.7543792071669316E-08,NaN,""
-3358.504410266876,25.6765085979979,19.999895974821538,-4.652849571988057E-07,NaN,-1.1632123929970143E-07,NaN,""
-3333.3608984947205,25.667090033685568,19.999816772599097,-5.76090507270505E-07,NaN,-1.4402262681762625E-07,NaN,""
-3324.3735938072205,25.719804365602485,19.999782319938497,-6.156968776369232E-07,NaN,-1.539242194092308E-07,NaN,""
-3315.3862891197205,25.772518697519402,19.999738773623676,-6.553032480033416E-07,NaN,-1.638258120008354E-07,NaN,""
-3302.217789173126,25.665494670590775,19.999674968104188,-7.133358288704815E-07,NaN,-1.7833395721762038E-07,NaN,""
-3291.909195423126,25.621721728624046,19.99962501972874,-6.204008850148262E-07,NaN,-1.5510022125370655E-07,NaN,""
-3269.478531360626,25.753208898889035,19.999516336114148,-4.181819834024213E-07,NaN,-1.0454549585060533E-07,NaN,""
-3255.498062610626,25.770838356193977,19.999448596350703,-2.797824155010059E-07,NaN,-6.994560387525148E-08,NaN,""
-3240.773941516876,25.77341073095424,19.999474617060596,-1.3402106561042266E-07,NaN,-3.3505266402605665E-08,NaN,""
-3240.030289173126,25.773540650594757,19.999483510360992,-1.2665928362125474E-07,NaN,-3.1664820905313686E-08,NaN,""
-3227.170914173126,25.775787245245276,19.99963729496979,-2.5245121099042356E-07,NaN,-6.311280274760589E-08,NaN,""
-3210.522476673126,25.778695807335342,19.999836392783493,-9.787040501967482E-09,NaN,-2.4467601254918705E-09,NaN,""
-3196.1714453697205,25.781203001515124,20.00000801603384,-9.081081921344622E-08,NaN,-2.2702704803361556E-08,NaN,""
